P_MASS,P_RADIUS,P_TEMP_EQUIL,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_MASS,S_RADIUS,P_FLUX,P_GRAVITY,P_ESI
1875.197,11.657,1009.5191,3.3564227,0.0427,5130.0,0.92,0.88,253.73902,13.799816,0.07986484
375.0394,14.415,1454.6993,2.0845435,0.03138,5404.0,0.95,1.17,1063.3938,1.804877,0.063626305
7.17,2.68,921.04187,5.19672,0.056,5325.0,0.85,0.87,174.36984,0.99827356,0.2300217
9.5,2.726,947.11234,4.65382,0.05186,5320.0,0.86,0.85,196.63702,1.2784151,0.22719779
514.8846,11.433,1072.5438,9.28971,0.0917,6055.0,0.93,1.31,314.2399,3.9390319,0.080352335
2.42,1.34,466.19765,3.6906745,0.0317,3412.0,0.31,0.31,11.217123,1.3477389,0.39979099
193.8763,14.908,1184.4933,4.46563,0.0558,5900.0,1.11,1.09,467.44617,0.87234034,0.063026218
3.63,2.06,1062.9528,6.26791,0.069,6037.0,1.1,1.19,304.50408,0.85540579,0.25604224
189.10885,15.02,1190.7483,3.8537768,0.04753,5644.0,0.96,1.1,520.11712,0.83824696,0.062386814
140.16233,11.456,899.08863,3.477978,0.0407,4775.0,0.74,0.71,155.17122,1.0679854,0.083702604
457.6752,13.787,1527.0061,2.18467,0.03416,5830.0,1.46,1.23,1291.1131,2.4077857,0.066005251
82.95363,13.227,909.37196,4.3888497,0.04944,5099.0,0.84,0.81,166.12742,0.47414665,0.074036752
572.07,13.002,1191.7421,3.577469,0.0446,5800.0,0.93,1.0,478.99423,3.3839883,0.070911003
170.99254,11.198,754.77999,3.0678523,0.0344,4143.0,0.58,0.59,77.069756,1.363629,0.092150701
352.78,14.46,1530.6463,3.89713,0.0518,6090.0,1.21,1.65,1305.6317,1.6872031,0.063265151
1938.763,12.722,1267.0337,1.8053564,0.02803,5215.0,0.9,0.85,612.00336,11.978817,0.071768861
791.3967,12.812,1425.0896,5.4060425,0.0673,6400.0,1.39,1.71,979.42204,4.821258,0.070675382
117.5971,12.442,1269.2001,2.78174,0.0379,5600.0,0.92,0.97,616.19984,0.75965468,0.073152527
117.5971,15.805,1376.8726,4.37808,0.0574,5550.0,1.28,1.86,853.44633,0.47076873,0.058866766
270.462,14.258,1484.9409,2.91625,0.04383,5653.0,1.32,1.76,1154.7699,1.3304208,0.064167182
1.66,1.13,528.0475,1.628931,0.0153,3270.0,0.18,0.21,19.159754,1.3000235,0.36158321
92.1707,12.442,914.72472,3.86814,0.04525,4700.0,0.98,0.86,166.25045,0.59540502,0.077831461
335.62848,14.93,1423.349,3.646706,0.04978,6096.0,1.24,1.44,974.93821,1.5057026,0.061765066
985.273,17.15,2196.8519,2.82406,0.047,7800.0,1.75,1.92,5531.008,3.3498729,0.053682455
230.10892,12.016,939.79506,2.2984055,0.02996,4508.0,0.68,0.67,185.47343,1.5937258,0.079413065
376.94638,14.807,1528.6058,1.3382315,0.0226,5400.0,0.86,0.89,1296.5316,1.7192753,0.0619499
73.1009,8.631,880.77945,3.92273,0.0457,4800.0,0.77,0.79,143.00892,0.98129704,0.1055127
152.5584,17.038,1616.7688,4.45724,0.0608,6080.0,1.03,1.94,1622.5304,0.52553168,0.054463821
2.31,1.58,368.99837,7.450729,0.0506,3412.0,0.31,0.31,4.402496,0.92533248,0.52714337
10.0,1.11,1152.3131,2.5081,0.0344,5322.0,0.88,0.82,418.68087,8.1162243,0.29529813
306.38812,10.604,1054.4778,3.126089,0.03963,5150.0,0.85,0.86,294.00433,2.7247865,0.085810718
